,Acinetobacter,Actinomadura,Aeromicrobium,Aggregatibacter,Alistipes,Anaerococcus,Arcobacter,Bacillus,Bacteroides,Brevundimonas,Brochothrix,Candidatus_Arthromitus,Chitinophaga,Chryseobacterium,Clostridium,Collinsella,Corynebacterium,Desulfurispora,Devosia,Enhydrobacter,Enterococcus,Faecalibacterium,Finegoldia,Flavobacterium,Flexispira,Granulicatella,Haemophilus,Helicobacter,Kaistobacter,Klebsiella,Lactobacillus,Micrococcus,Myroides,Neisseria,Novosphingobium,Oscillospira,Paenisporosarcina,Parabacteroides,Paracoccus,Pedobacter,Peptococcus,Phyllobacterium,Porphyromonas,Prevotella,Pseudomonas,Psychrobacter,Rhodoplanes,Roseburia,Rothia,Ruminococcus,Sedimentibacter,Sphingobacterium,Sphingobium,Staphylococcus,Stenotrophomonas,Steroidobacter,Streptococcus,Streptomyces,Streptosporangium,Unclassified,Weissella
Brochothrix,-0.243492376778837,-0.0909090909090909,-0.0909090909090909,-0.0909090909090909,1,-0.0909090909090909,-0.134281626522908,-0.0909090909090909,0.131243591777942,0.401257606821059,1,0.571605347479646,-0.0909090909090909,-0.207856489992599,0.233083980525356,-0.0909090909090909,0.222277112237194,-0.0909090909090909,-0.0909090909090909,0.243492376778837,-0.134281626522908,-0.207856489992599,-0.134281626522908,-0.0909090909090909,-0.134281626522908,0.259820612490748,0.243492376778837,-0.218739319629904,-0.0909090909090909,-0.0909090909090909,-0.316983388996208,-0.171967545780454,-0.0909090909090909,-0.0909090909090909,-0.0909090909090909,-0.207856489992599,-0.0909090909090909,0.139850388315213,0.233083980525356,-0.0909090909090909,-0.0909090909090909,-0.0909090909090909,0.401257606821059,-0.0439799497133542,-0.171967545780454,1,-0.0909090909090909,-0.134281626522908,0.146095426067302,-0.134281626522908,-0.0909090909090909,-0.171967545780454,-0.134281626522908,0.604267319353088,-0.0909090909090909,-0.0909090909090909,0.407550071566554,-0.0909090909090909,-0.0909090909090909,-0.131013944022344,-0.0909090909090909
Candidatus_Arthromitus,-0.315478167844574,-0.207856489992599,-0.207856489992599,-0.207856489992599,0.571605347479646,0.259820612490748,-0.307024383155036,0.467677102483347,-0.0416775216015041,0.016382928126843,0.571605347479646,1,-0.207856489992599,-0.475247524752475,0.304213180102975,-0.207856489992599,0.436221431854756,-0.207856489992599,-0.207856489992599,0.62167756604666,0.550085353152774,0.113861386138614,0.00959451197359489,-0.207856489992599,-0.307024383155036,0.502475247524753,0.672710799080341,-0.150039077765415,0.467677102483347,0.467677102483347,-0.0776526000910515,-0.147446353141587,-0.207856489992599,0.259820612490748,-0.207856489992599,-0.475247524752475,-0.207856489992599,0.0355285465813693,0.273125701844277,-0.207856489992599,0.467677102483347,-0.207856489992599,0.360424418790547,-0.0460884864697386,-0.393190275044233,0.571605347479646,0.467677102483347,-0.307024383155036,0.329396322308305,-0.307024383155036,0.467677102483347,-0.393190275044233,-0.307024383155036,0.220673775392682,-0.207856489992599,-0.207856489992599,0.819666334294432,-0.207856489992599,-0.207856489992599,-0.245467110492038,0.467677102483347
Chitinophaga,0.243492376778837,-0.0909090909090909,-0.0909090909090909,-0.0909090909090909,-0.0909090909090909,-0.0909090909090909,0.738548945875996,-0.0909090909090909,0.306235047481865,0.630547667861664,-0.0909090909090909,-0.207856489992599,1,0.363748857487047,0.41955116494564,-0.0909090909090909,0.311187957132071,-0.0909090909090909,-0.0909090909090909,-0.243492376778837,-0.134281626522908,-0.207856489992599,0.738548945875996,-0.0909090909090909,0.604267319353088,-0.207856489992599,0.438286278201907,0.0437478639259807,-0.0909090909090909,-0.0909090909090909,0.316983388996208,0.515902637341361,-0.0909090909090909,-0.0909090909090909,-0.0909090909090909,0.467677102483347,-0.0909090909090909,-0.279700776630427,-0.279700776630427,-0.0909090909090909,-0.0909090909090909,-0.0909090909090909,-0.171967545780454,0.395819547420188,0.401257606821059,-0.0909090909090909,-0.0909090909090909,-0.134281626522908,-0.243492376778837,-0.134281626522908,-0.0909090909090909,0.401257606821059,0.604267319353088,-0.134281626522908,-0.0909090909090909,-0.0909090909090909,-0.0452833412851726,-0.0909090909090909,-0.0909090909090909,-0.480384461415261,-0.0909090909090909
Chryseobacterium,0.598480641940441,0.571605347479646,0.571605347479646,0.571605347479646,-0.207856489992599,-0.207856489992599,0.678012179467372,-0.207856489992599,-0.172961714646242,0.518792724016696,-0.207856489992599,-0.475247524752475,0.363748857487047,1,-0.273125701844277,0.571605347479646,-0.304931486345072,-0.207856489992599,0.571605347479646,-0.306199398202086,-0.307024383155036,-0.475247524752475,0.150314020919653,0.571605347479646,0.0799542664466241,-0.475247524752475,-0.199493547313481,-0.0979421757635347,-0.207856489992599,-0.207856489992599,-0.0431403333839175,-0.0327658562536861,0.571605347479646,-0.207856489992599,0.467677102483347,0.621287128712871,0.571605347479646,-0.339741726684344,-0.148775788809484,0.571605347479646,-0.207856489992599,0.571605347479646,-0.393190275044233,-0.490213901541765,0.906522023018648,-0.207856489992599,-0.207856489992599,-0.307024383155036,-0.556726178549248,-0.307024383155036,-0.207856489992599,0.906522023018648,0.703597544730292,0.233466458024142,0.571605347479646,-0.207856489992599,-0.582394500682886,-0.207856489992599,0.571605347479646,-0.0332836759989204,-0.207856489992599
Clostridium,0.2080986321597,-0.279700776630427,-0.279700776630427,-0.279700776630427,0.233083980525356,-0.279700776630427,0.146322338899945,0.139850388315213,-0.128991117231367,0.254748971249373,0.233083980525356,0.304213180102975,0.41955116494564,-0.273125701844277,1,-0.279700776630427,0.267853740296619,0.0466167961050711,-0.279700776630427,0.174802851014148,-0.0774647676529122,0.0599544223560607,0.146322338899945,-0.279700776630427,0.694313843407583,-0.199848074520202,0.391225428460237,-0.256112797981121,0.139850388315213,0.139850388315213,-0.0541814167162792,-0.0881823362017059,-0.279700776630427,-0.279700776630427,-0.279700776630427,-0.0666160248400675,-0.279700776630427,-0.332669322709163,0.428286852589641,-0.279700776630427,0.139850388315213,-0.279700776630427,-0.053889205456598,0.281903097918574,-0.161667616369794,0.233083980525356,0.139850388315213,-0.152060469837198,0.149831015154984,-0.192227386397967,0.139850388315213,-0.161667616369794,0.0602503748411539,-0.0659885057784067,-0.279700776630427,0.0466167961050711,0.220595768059137,0.512784757155782,-0.279700776630427,-0.134363906939038,0.139850388315213
Collinsella,0.340889327490372,1,1,1,-0.0909090909090909,-0.0909090909090909,0.604267319353088,-0.0909090909090909,-0.437478639259807,0.515902637341361,-0.0909090909090909,-0.207856489992599,-0.0909090909090909,0.571605347479646,-0.279700776630427,1,-0.133366267342316,-0.0909090909090909,1,-0.243492376778837,-0.134281626522908,-0.207856489992599,-0.134281626522908,1,-0.134281626522908,-0.207856489992599,-0.243492376778837,-0.437478639259807,-0.0909090909090909,-0.0909090909090909,-0.316983388996208,-0.171967545780454,1,-0.0909090909090909,-0.0909090909090909,0.363748857487047,1,-0.279700776630427,-0.279700776630427,1,-0.0909090909090909,1,-0.171967545780454,-0.395819547420188,0.630547667861664,-0.0909090909090909,-0.0909090909090909,-0.134281626522908,-0.243492376778837,-0.134281626522908,-0.0909090909090909,0.630547667861664,0.738548945875996,-0.134281626522908,1,-0.0909090909090909,-0.316983388996208,-0.0909090909090909,1,-0.218356573370573,-0.0909090909090909
Corynebacterium,-0.361179367630218,-0.133366267342316,-0.133366267342316,-0.133366267342316,0.222277112237194,0.400098802026948,0.158690442703968,0.133366267342316,0.0160448456190209,0.26162512084835,0.222277112237194,0.436221431854756,0.311187957132071,-0.304931486345072,0.267853740296619,-0.133366267342316,1,0.489009646921826,-0.133366267342316,0.00793800807978502,0.377573811950822,0.351518241203347,0.519848001961276,-0.133366267342316,-0.0738731371208129,0.158818482471392,0.650916662542371,-0.17649330180923,0.133366267342316,0.133366267342316,0.0627413070776913,0.3737501726405,-0.133366267342316,0.400098802026948,-0.35564337957951,0.0783504513525532,-0.133366267342316,-0.201365223201714,-0.106381627351849,-0.133366267342316,0.133366267342316,-0.133366267342316,0.719469082332963,0.132624154699297,-0.158843823372213,0.222277112237194,0.133366267342316,0.361157559257308,0.436590444388176,0.295492548483252,0.133366267342316,-0.158843823372213,0.103969600392255,-0.134066063663697,-0.133366267342316,0.489009646921826,0.811946326887769,-0.35564337957951,-0.133366267342316,-0.36660608324138,0.133366267342316
Desulfurispora,-0.243492376778837,-0.0909090909090909,-0.0909090909090909,-0.0909090909090909,-0.0909090909090909,-0.0909090909090909,-0.134281626522908,-0.0909090909090909,-0.0437478639259807,-0.171967545780454,-0.0909090909090909,-0.207856489992599,-0.0909090909090909,-0.207856489992599,0.0466167961050711,-0.0909090909090909,0.489009646921826,1,-0.0909090909090909,-0.243492376778837,-0.134281626522908,0.467677102483347,-0.134281626522908,-0.0909090909090909,-0.134281626522908,-0.207856489992599,-0.243492376778837,-0.0437478639259807,-0.0909090909090909,-0.0909090909090909,0.0452833412851726,-0.171967545780454,-0.0909090909090909,-0.0909090909090909,-0.0909090909090909,0.259820612490748,-0.0909090909090909,0.0466167961050711,0.139850388315213,-0.0909090909090909,-0.0909090909090909,-0.0909090909090909,0.515902637341361,-0.131939849140063,-0.171967545780454,-0.0909090909090909,-0.0909090909090909,0.738548945875996,0.438286278201907,0.604267319353088,-0.0909090909090909,-0.171967545780454,-0.134281626522908,-0.134281626522908,-0.0909090909090909,1,0.135850023855518,-0.0909090909090909,-0.0909090909090909,0.131013944022344,-0.0909090909090909
Devosia,0.340889327490372,1,1,1,-0.0909090909090909,-0.0909090909090909,0.604267319353088,-0.0909090909090909,-0.437478639259807,0.515902637341361,-0.0909090909090909,-0.207856489992599,-0.0909090909090909,0.571605347479646,-0.279700776630427,1,-0.133366267342316,-0.0909090909090909,1,-0.243492376778837,-0.134281626522908,-0.207856489992599,-0.134281626522908,1,-0.134281626522908,-0.207856489992599,-0.243492376778837,-0.437478639259807,-0.0909090909090909,-0.0909090909090909,-0.316983388996208,-0.171967545780454,1,-0.0909090909090909,-0.0909090909090909,0.363748857487047,1,-0.279700776630427,-0.279700776630427,1,-0.0909090909090909,1,-0.171967545780454,-0.395819547420188,0.630547667861664,-0.0909090909090909,-0.0909090909090909,-0.134281626522908,-0.243492376778837,-0.134281626522908,-0.0909090909090909,0.630547667861664,0.738548945875996,-0.134281626522908,1,-0.0909090909090909,-0.316983388996208,-0.0909090909090909,1,-0.218356573370573,-0.0909090909090909
Enhydrobacter,-0.408695652173913,-0.243492376778837,-0.243492376778837,-0.243492376778837,0.243492376778837,-0.243492376778837,-0.359662076397702,0.438286278201907,0.281219964071223,-0.204711400426652,0.243492376778837,0.62167756604666,-0.243492376778837,-0.306199398202086,0.174802851014148,-0.243492376778837,0.00793800807978502,-0.243492376778837,-0.243492376778837,1,0.185825406138813,0.42218401873318,-0.359662076397702,-0.243492376778837,-0.359662076397702,0.00927876964248747,0.226086956521739,0.234349970059352,0.438286278201907,0.438286278201907,0.145545158853784,-0.174004690362654,-0.243492376778837,-0.243492376778837,-0.243492376778837,-0.139181544637312,-0.243492376778837,0.374577537887461,0.0915633981502681,-0.243492376778837,0.438286278201907,-0.243492376778837,-0.204711400426652,-0.196327678915837,-0.460600650959968,0.243492376778837,0.438286278201907,-0.0959098870393872,0.521739130434783,-0.0479549435196936,0.438286278201907,-0.460600650959968,-0.359662076397702,-0.0299718396998085,-0.243492376778837,-0.243492376778837,0.38812042361009,-0.243492376778837,-0.243492376778837,-0.00779799695184157,0.438286278201907
