,Acinetobacter,Actinomadura,Aeromicrobium,Aggregatibacter,Alistipes,Anaerococcus,Arcobacter,Bacillus,Bacteroides,Brevundimonas,Brochothrix,Candidatus_Arthromitus,Chitinophaga,Chryseobacterium,Clostridium,Collinsella,Corynebacterium,Desulfurispora,Devosia,Enhydrobacter,Enterococcus,Faecalibacterium,Finegoldia,Flavobacterium,Flexispira,Granulicatella,Haemophilus,Helicobacter,Kaistobacter,Klebsiella,Lactobacillus,Micrococcus,Myroides,Neisseria,Novosphingobium,Oscillospira,Paenisporosarcina,Parabacteroides,Paracoccus,Pedobacter,Peptococcus,Phyllobacterium,Porphyromonas,Prevotella,Pseudomonas,Psychrobacter,Rhodoplanes,Roseburia,Rothia,Ruminococcus,Sedimentibacter,Sphingobacterium,Sphingobium,Staphylococcus,Stenotrophomonas,Steroidobacter,Streptococcus,Streptomyces,Streptosporangium,Unclassified,Weissella
Brochothrix,0.445692547399569,0.778725396245442,0.778725396245442,0.778725396245442,0,0.778725396245442,0.677358391879039,0.778725396245442,0.684321444931474,0.19608015249223,0,0.424403922226104,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.915821087485177,0.835326773229284,0,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.335760489228443,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284
Candidatus_Arthromitus,0.31785450680656,0.516822371709703,0.516822371709703,0.516822371709703,0.0521808101097668,0.414763968834723,0.331694459608527,0.125236559835129,0.897671397632614,0.959697062585968,0.0521808101097668,0,0.835326773229284,0.758883789729426,0.835326773229284,0.835326773229284,0.80789393020607,0.835326773229284,0.835326773229284,0.319279838312841,0.510453644006388,0.835326773229284,0.98014057511279,0.835326773229284,0.835326773229284,0.660037993054216,0.207113902512272,0.835326773229284,0.758883789729426,0.758883789729426,0.864750847632018,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.758883789729426,0.835326773229284,0.929474469197583,0.835326773229284,0.835326773229284,0.758883789729426,0.835326773229284,0.835326773229284,0.915821087485177,0.835326773229284,0.424403922226104,0.758883789729426,0.835326773229284,0.835326773229284,0.835326773229284,0.758883789729426,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.0199327244190006,0.835326773229284,0.835326773229284,0.835326773229284,0.758883789729426
Chitinophaga,0.445692547399569,0.778725396245442,0.778725396245442,0.778725396245442,0.778725396245442,0.778725396245442,0.00608084792708854,0.778725396245442,0.333003139115651,0.0279363192412668,0.778725396245442,0.516822371709703,0,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.0824292719005336,0.835326773229284,0.335760489228443,0.835326773229284,0.805588858697341,0.915821087485177,0.835326773229284,0.835326773229284,0.835326773229284,0.602529030535713,0.835326773229284,0.835326773229284,0.835326773229284,0.758883789729426,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.335760489228443,0.835326773229284,0.835326773229284,0.835326773229284,0.915821087485177,0.835326773229284,0.835326773229284,0.752727307718463,0.835326773229284
Chryseobacterium,0.0397937689976917,0.0521808101097668,0.0521808101097668,0.0521808101097668,0.516822371709703,0.516822371709703,0.0153821362217504,0.516822371709703,0.590879489872971,0.0839453976340039,0.516822371709703,0.118420573267255,0.245108050057639,0,0.835326773229284,0.424403922226104,0.835326773229284,0.835326773229284,0.424403922226104,0.835326773229284,0.835326773229284,0.758883789729426,0.835326773229284,0.424403922226104,0.861389612787297,0.758883789729426,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.916637608920694,0.934286218821313,0.424403922226104,0.835326773229284,0.758883789729426,0.319279838312841,0.424403922226104,0.835326773229284,0.835326773229284,0.424403922226104,0.835326773229284,0.424403922226104,0.835326773229284,0.708369191244604,0.000895633828977213,0.835326773229284,0.835326773229284,0.835326773229284,0.482308391018088,0.835326773229284,0.835326773229284,0.000895633828977213,0.137509214809925,0.835326773229284,0.424403922226104,0.835326773229284,0.41085456853032,0.835326773229284,0.424403922226104,0.934286218821313,0.835326773229284
Clostridium,0.516323077632638,0.37860331774801,0.37860331774801,0.37860331774801,0.465965801830638,0.37860331774801,0.649993284596451,0.664655336555838,0.689498665277601,0.424254067637916,0.465965801830638,0.336368040194428,0.174552192178213,0.390377358029628,1.32831694084711e-79,0.835326773229284,0.835326773229284,0.915821087485177,0.835326773229284,0.835326773229284,0.864750847632018,0.903520950182081,0.835326773229284,0.835326773229284,0.156560145425553,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.915516633196271,0.841803325328086,0.835326773229284,0.835326773229284,0.835326773229284,0.889008550077306,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.915516633196271,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.903283456561836,0.890103484355966,0.835326773229284,0.915821087485177,0.835326773229284,0.609328698544403,0.835326773229284,0.835326773229284,0.835326773229284
Collinsella,0.27821476204797,0,0,0,0.778725396245442,0.778725396245442,0.0374290381434986,0.778725396245442,0.154954796864188,0.0859913307490668,0.778725396245442,0.516822371709703,0.778725396245442,0.0521808101097668,0.37860331774801,0,0.835326773229284,0.835326773229284,0,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0,0.835326773229284,0.835326773229284,0.835326773229284,0.805588858697341,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0,0.835326773229284,0.835326773229284,0.835326773229284,0,0.835326773229284,0.835326773229284,0,0.835326773229284,0,0.835326773229284,0.835326773229284,0.290474228474536,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.290474228474536,0.0824292719005336,0.835326773229284,0,0.835326773229284,0.835326773229284,0.835326773229284,0,0.835326773229284,0.835326773229284
Corynebacterium,0.248707749355712,0.67945394757391,0.67945394757391,0.67945394757391,0.487459832004872,0.197496287544523,0.622291779244355,0.67945394757391,0.960528187922618,0.411413027609958,0.487459832004872,0.156281120925109,0.324837831582591,0.335170498323609,0.399951080159755,0.67945394757391,0,0.70980661274972,0.835326773229284,0.982421700092824,0.835326773229284,0.835326773229284,0.602529030535713,0.835326773229284,0.8729453227923,0.835326773229284,0.270541647141558,0.835326773229284,0.835326773229284,0.835326773229284,0.897405175502236,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.863992834790312,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.111499742445475,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.80789393020607,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.70980661274972,0.02400534297339,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284
Desulfurispora,0.445692547399569,0.778725396245442,0.778725396245442,0.778725396245442,0.778725396245442,0.778725396245442,0.677358391879039,0.778725396245442,0.892613500726563,0.593047722539582,0.778725396245442,0.516822371709703,0.778725396245442,0.516822371709703,0.885610733151183,0.778725396245442,0.10666492814545,0,0.835326773229284,0.835326773229284,0.835326773229284,0.758883789729426,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.915821087485177,0.835326773229284,0.835326773229284,0.915821087485177,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.915821087485177,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.602529030535713,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.0824292719005336,0.805588858697341,0.335760489228443,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284
Devosia,0.27821476204797,0,0,0,0.778725396245442,0.778725396245442,0.0374290381434986,0.778725396245442,0.154954796864188,0.0859913307490668,0.778725396245442,0.516822371709703,0.778725396245442,0.0521808101097668,0.37860331774801,0,0.67945394757391,0.778725396245442,0,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0,0.835326773229284,0.835326773229284,0.835326773229284,0.805588858697341,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0,0.835326773229284,0.835326773229284,0.835326773229284,0,0.835326773229284,0.835326773229284,0,0.835326773229284,0,0.835326773229284,0.835326773229284,0.290474228474536,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.290474228474536,0.0824292719005336,0.835326773229284,0,0.835326773229284,0.835326773229284,0.835326773229284,0,0.835326773229284,0.835326773229284
Enhydrobacter,0.187139409761612,0.445692547399569,0.445692547399569,0.445692547399569,0.445692547399569,0.445692547399569,0.25084787851437,0.154106554460251,0.37590933252567,0.523326533805261,0.445692547399569,0.030919287581382,0.445692547399569,0.333062309858998,0.586872187935588,0.445692547399569,0.980466699395025,0.445692547399569,0.445692547399569,0,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.980382517803078,0.835326773229284,0.835326773229284,0.805588858697341,0.805588858697341,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.805588858697341,0.835326773229284,0.835326773229284,0.835326773229284,0.783307064203849,0.835326773229284,0.805588858697341,0.835326773229284,0.602529030535713,0.915821087485177,0.805588858697341,0.783307064203849,0.835326773229284,0.938639474744269,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.982421700092824,0.805588858697341
Enterococcus,0.882346992136764,0.677358391879039,0.677358391879039,0.677358391879039,0.677358391879039,0.0374290381434986,0.536594966426271,0.00608084792708854,0.726396298877956,0.425640206005241,0.677358391879039,0.063876439605171,0.677358391879039,0.331694459608527,0.810881122697564,0.677358391879039,0.226270640659,0.677358391879039,0.677358391879039,0.563106599582038,0,0.888123388395336,0.835326773229284,0.835326773229284,0.835326773229284,0.335760489228443,0.75282959370714,0.835326773229284,0.0824292719005336,0.0824292719005336,0.913301330612551,0.835326773229284,0.835326773229284,0.335760489228443,0.835326773229284,0.835326773229284,0.835326773229284,0.877432292217963,0.877432292217963,0.835326773229284,0.0824292719005336,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.0824292719005336,0.835326773229284,0.938639474744269,0.835326773229284,0.0824292719005336,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.378975572913166,0.835326773229284,0.835326773229284,0.9878511934791,0.0824292719005336
Faecalibacterium,0.210474449747869,0.516822371709703,0.516822371709703,0.516822371709703,0.516822371709703,0.516822371709703,0.331694459608527,0.414763968834723,0.806745175928059,0.206069104887262,0.516822371709703,0.724581683029435,0.516822371709703,0.118420573267255,0.853160766073572,0.516822371709703,0.262518403721592,0.125236559835129,0.516822371709703,0.17158152778479,0.835709549080202,0,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.852774321599371,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.915821087485177,0.835326773229284,0.835326773229284,0.835326773229284,0.934286218821313,0.861776169287581,0.835326773229284,0.835326773229284,0.835326773229284,0.0689667156134695,0.000132348302596689,0.0546310235995374,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.758883789729426,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284
Finegoldia,0.926329448845983,0.677358391879039,0.677358391879039,0.677358391879039,0.677358391879039,0.0374290381434986,0.0978546142578124,0.677358391879039,0.764424837599188,0.212560138186368,0.677358391879039,0.976391403513998,0.00608084792708854,0.641006321639175,0.649993284596451,0.677358391879039,0.0832066637041974,0.677358391879039,0.677358391879039,0.25084787851437,0.340655255568716,0.331694459608527,0,0.835326773229284,0.835326773229284,0.835326773229284,0.119347274191828,0.915516633196271,0.835326773229284,0.835326773229284,0.835326773229284,0.178936390567841,0.835326773229284,0.335760489228443,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284
Flavobacterium,0.27821476204797,0,0,0,0.778725396245442,0.778725396245442,0.0374290381434986,0.778725396245442,0.154954796864188,0.0859913307490668,0.778725396245442,0.516822371709703,0.778725396245442,0.0521808101097668,0.37860331774801,0,0.67945394757391,0.778725396245442,0,0.445692547399569,0.677358391879039,0.516822371709703,0.677358391879039,0,0.835326773229284,0.835326773229284,0.835326773229284,0.805588858697341,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0,0.835326773229284,0.835326773229284,0.835326773229284,0,0.835326773229284,0.835326773229284,0,0.835326773229284,0,0.835326773229284,0.835326773229284,0.290474228474536,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.290474228474536,0.0824292719005336,0.835326773229284,0,0.835326773229284,0.835326773229284,0.835326773229284,0,0.835326773229284,0.835326773229284
Flexispira,0.0862678300167755,0.677358391879039,0.677358391879039,0.677358391879039,0.677358391879039,0.677358391879039,0.206859821826618,0.677358391879039,0.658180901559326,0.361762328612212,0.677358391879039,0.331694459608527,0.0374290381434986,0.804905048014359,0.0122339348611225,0.677358391879039,0.819519160960203,0.677358391879039,0.677358391879039,0.25084787851437,0.536594966426271,0.331694459608527,0.206859821826618,0.677358391879039,0,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.924378889720679,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.805588858697341,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.0824292719005336,0.835326773229284,0.905112274690529,0.835326773229284
Granulicatella,0.260960143113599,0.516822371709703,0.516822371709703,0.516822371709703,0.414763968834723,0.125236559835129,0.331694459608527,0.245108050057639,0.36474856737582,0.647458258818364,0.414763968834723,0.0959399487171701,0.516822371709703,0.118420573267255,0.533452953132323,0.516822371709703,0.622007266168245,0.516822371709703,0.516822371709703,0.977168148892248,0.0360931199068733,0.471661978371545,0.641006321639175,0.516822371709703,0.331694459608527,0,0.835326773229284,0.915516633196271,0.835326773229284,0.835326773229284,0.835326773229284,0.924680732707002,0.835326773229284,0.758883789729426,0.835326773229284,0.758883789729426,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.98014057511279,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284
Haemophilus,0.515092928946644,0.445692547399569,0.445692547399569,0.445692547399569,0.445692547399569,0.0726470398108082,0.563106599582038,0.650505462977038,0.904075141933559,0.348807947398068,0.445692547399569,0.0165238414026184,0.154106554460251,0.534194388218059,0.208548044495722,0.445692547399569,0.0218798709163664,0.445692547399569,0.445692547399569,0.479831499132156,0.114658407817883,0.796388697056461,0.00919560965084576,0.445692547399569,0.752659997802251,0.281550638401644,0,0.967379316605395,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.570575462891755,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.981283804096462,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.938639474744269,0.835326773229284,0.835326773229284,0.0824292719005336,0.835326773229284,0.835326773229284,0.566064299414768,0.835326773229284
